tanggal,nama_produk,jumlah,harga_satuan,total_harga
05/09/2025 14:26:19,background,1,0,0
05/09/2025 14:26:19,viva milk cleanser,1,12000,12000
05/09/2025 14:27:15,background,2,0,0
05/09/2025 15:47:24,natur-e skin start,3,15000,45000
05/09/2025 15:47:24,viva milk cleanser,2,12000,24000
05/09/2025 17:02:58,natur-e skin start,3,15000,45000
05/09/2025 17:02:58,viva milk cleanser,2,12000,24000
05/09/2025 17:11:32,natur-e skin start,1,15000,15000
05/09/2025 17:11:32,viva milk cleanser,2,12000,24000
05/09/2025 17:11:53,viva milk cleanser,2,12000,24000
05/09/2025 17:14:40,natur-e skin start,4,15000,60000
05/09/2025 17:14:40,viva milk cleanser,2,12000,24000
05/09/2025 17:20:17,viva milk cleanser,3,12000,36000
05/09/2025 17:20:17,natur-e skin start,2,15000,30000
